DateTime,AddedIPs,RemovedIPs
1502314090,254,0
1502314832,23,12
1502315605,240,174
1502317237,198,186
1502317689,165,0
1502319161,32,23
1502319365,241,203
1502320205,123,125
1502321308,291,0
1502322134,232,153
1502323304,10,19
1502324106,141,397
1502324406,91,2
1502325160,307,7
1502325353,91,175
1502325727,31,52
1502326447,246,0
1502327093,41,23
1502327706,239,125
1502328606,100,147
1502329805,124,0
1502330921,100,145
1502331605,113,0
1502332843,204,199
1502334765,214,109
1502335205,104,0
1502336106,100,124
1502336663,10,13
1502337625,145,1
1502338211,141,173
1502338592,15,6
1502339426,183,163
1502340519,123,72
1502342443,195,134
1502342886,120,0
1502344346,21,11
1502344821,166,145
1502346275,229,179
1502346625,104,126
1502347512,141,45
1502348196,20,10
1502349011,276,125
1502350119,129,17
1502352073,7,7
1502352847,336,410
1502353965,127,274
1502354708,117,77
1502356209,211,171
1502357013,89,1
1502357796,12,13
1502358569,160,241
1502359726,35,14
1502360105,125,268
1502360206,105,1
1502361625,50,874
1502362193,183,497
1502362505,211,198
1502363813,567,138
1502364212,87,0
1502365966,23,7
1502366419,178,256
1502367911,569,138
1502369796,56,32
1502370022,228,194
1502370610,93,185
1502371708,57,53
1502371815,149,178
1502372713,151,74
1502373713,22,25
1502374507,234,149
1502376137,260,215
1502377009,117,1
1502377478,14,35
1502377808,66,117
1502379019,106,173
1502381326,21,15
1502383242,246,275
1502383329,172,256
1502383765,0,766
1502384165,70,0
1502385172,129,141
1502385877,141,1
1502387073,127,156
1502387371,1014,0
1502389018,179,180
1502390405,176,235
1502391772,127,20
1502392216,86,128
1502393797,61,26
1502394312,205,191
1502395242,54,0
1502395703,20,14
1502396855,135,212
1502397626,14,21
1502397910,57,241
1502399558,23,21
1502400005,208,181
1502400905,75,161
1502401460,14,14
1502401841,92,0
1502402421,21,0
1502403010,66,194
1502403382,10,20
1502404221,0,254
1502404807,152,269
1502405314,8,23
1502405705,93,0
1502406611,89,133
1502407226,415,0
1502407825,256,0
1502408532,169,250
1502409154,15,6
1502410507,160,146
1502411060,14,2
1502411426,114,253
1502412993,267,285
1502413823,222,416
1502414915,102,53
1502415733,108,312
1502416870,111,14
1502417708,83,144
1502418418,117,0
1502418758,16,20
1502420461,211,456
1502421306,61,0
1502422230,103,221
1502422825,39,30
1502423106,98,72
1502424748,10,13
1502424908,221,116
1502426665,256,347
1502428604,175,161
1502429023,104,0
1502429900,129,188
1502430503,11,10
1502430905,140,78
1502431813,121,150
1502432443,16,17
1502433028,145,222
1502434368,118,72
1502436280,183,157
1502436631,86,227
1502438203,23,17
1502438216,174,66
1502440119,127,132
1502440206,88,192
1502441409,96,53
1502442156,199,166
1502442737,161,9
1502443961,263,240
