DateTime,Entries,UniqueIPs
1501800052,9281,9387
1501801012,9270,9376
1501801980,9270,9376
1501802651,9273,9379
1501803403,9257,9363
1501804113,9264,9370
1501804950,9250,9356
1501805833,9248,9354
1501806776,9250,9356
1501807455,9248,9354
1501808183,9249,9355
1501808891,9259,9365
1501809665,9256,9362
1501810359,9244,9350
1501811062,9241,9347
1501811791,9252,9358
1501812540,9247,9353
1501813485,9245,9351
1501814191,9244,9350
1501814929,9246,9352
1501815692,9245,9351
1501816354,9235,9341
1501817052,9237,9343
1501817802,9229,9335
1501818514,9227,9333
1501819301,9226,9332
1501820227,9234,9340
1501821178,9228,9334
1501821851,9235,9341
1501822600,9237,9343
1501823309,9236,9342
1501824042,9244,9350
1501824736,9250,9356
1501825462,9239,9345
1501826490,9240,9346
1501827141,9237,9342
1501827884,9229,9334
1501828855,9240,9345
1501829537,9240,9345
1501830272,9243,9349
1501830993,9244,9350
1501831731,9241,9347
1501832416,9259,9365
1501833146,9245,9351
1501834134,9253,9359
1501834824,9257,9363
1501835576,9257,9361
1501836255,9270,9374
1501836989,9266,9370
1501837971,9254,9358
1501838659,9251,9355
1501839407,9249,9353
1501840116,9252,9356
1501840899,9250,9354
1501841814,9250,9354
1501842520,9250,9354
1501843232,9250,9354
1501843938,9240,9344
1501844546,9239,9343
1501845423,9249,9353
1501846108,9250,9354
1501846827,9257,9361
1501847532,9256,9360
1501848298,9252,9356
1501849270,9260,9364
1501849954,9258,9362
1501850667,9256,9361
1501851372,9258,9363
1501852128,9250,9355
1501852835,9249,9354
1501853567,9252,9357
1501854257,9254,9359
1501854992,9250,9355
1501855692,9251,9356
1501856445,9253,9358
1501857157,9252,9357
1501857866,9251,9356
1501858959,9239,9344
1501859816,9246,9351
1501860512,9251,9356
1501861228,9249,9354
1501861934,9244,9349
1501862673,9243,9348
1501863395,9258,9363
1501864122,9266,9371
1501864839,9272,9377
1501865574,9279,9384
1501866518,9281,9386
1501867493,9273,9378
1501868172,9279,9384
1501868910,9270,9375
1501869666,9286,9391
1501870356,9281,9386
1501871050,9281,9386
1501871802,9267,9372
1501872517,9267,9373
1501873334,9268,9374
1501873953,9274,9380
1501874667,9284,9390
1501875372,9286,9392
1501876132,9288,9394
1501876908,9278,9384
1501877550,9275,9381
1501878252,9268,9374
1501879013,9272,9378
1501879716,9267,9373
1501880504,9265,9371
1501881136,9257,9363
1501881886,9236,9342
1501882573,9237,9343
1501883309,9234,9340
1501884144,9217,9323
1501885020,9207,9313
1501885692,9200,9306
1501886435,9203,9309
1501887133,9202,9308
1501887874,9198,9304
1501888860,9199,9305
1501889538,9193,9299
1501890265,9189,9295
1501890994,9180,9286
1501891730,9182,9288
1501892673,9182,9288
1501893390,9179,9285
1501894128,9176,9282
1501894891,9172,9278
1501895547,9171,9277
1501896530,9172,9278
1501897213,9173,9279
1501897948,9166,9273
1501898577,9159,9266
1501899421,9156,9263
1501900374,9154,9261
1501901056,9150,9257
1501901804,9148,9255
1501902509,9139,9246
1501903258,9144,9251
1501904215,9140,9247
1501904913,9149,9256
1501905670,9146,9253
1501906336,9146,9253
1501907075,9145,9252
1501908050,9151,9258
1501909011,9143,9250
1501909990,9134,9241
1501910654,9130,9237
1501911407,9133,9240
1501912112,9130,9237
1501912949,9134,9241
1501913845,9127,9234
1501914771,9122,9229
1501915451,9121,9228
1501916211,9125,9232
1501916909,9129,9236
1501917663,9133,9240
1501918338,9134,9241
1501919057,9137,9244
1501919790,9140,9247
1501920511,9152,9259
1501921226,9139,9246
1501921933,9153,9260
1501922666,9146,9253
1501923411,9142,9249
1501924109,9151,9258
1501924834,9155,9262
1501925535,9155,9262
1501926272,9165,9272
1501926989,9169,9276
1501927725,9165,9272
1501928417,9171,9278
1501929179,9176,9283
1501930138,9173,9280
1501931080,9177,9284
1501931793,9186,9293
1501932531,9169,9276
1501933217,9175,9282
1501933948,9168,9275
1501934940,9160,9268
1501935624,9165,9273
1501936356,9160,9268
1501937054,9170,9278
1501937804,9161,9269
1501938773,9162,9270
1501939456,9152,9260
1501940190,9152,9260
1501940895,9151,9259
1501941744,9153,9261
1501942619,9155,9263
1501943567,9154,9262
1501944251,9164,9272
1501945001,9153,9261
1501945707,9149,9257
1501946430,9151,9259
1501947142,9151,9259
1501947866,9145,9253
1501948571,9149,9257
1501949313,9141,9249
1501950029,9148,9256
1501950749,9146,9254
1501951477,9145,9253
1501952183,9143,9251
1501952912,9155,9263
1501953634,9142,9250
1501954366,9142,9250
1501955051,9150,9258
1501955783,9149,9257
1501956594,9152,9260
1501957247,9157,9265
1501957950,9153,9261
1501958665,9149,9257
1501959376,9155,9263
1501960103,9156,9264
1501960842,9156,9264
1501961554,9158,9266
1501962258,9147,9255
1501962989,9146,9254
1501963978,9128,9236
1501964652,9138,9246
1501965409,9134,9242
1501966109,9134,9242
1501966934,9111,9219
1501967824,9108,9216
1501968767,9113,9221
1501969450,9098,9206
1501970197,9102,9210
1501970917,9091,9199
1501971565,9088,9196
1501972351,9087,9195
1501973053,9084,9192
1501973799,9090,9198
1501974509,9088,9196
1501975221,9102,9210
1501976223,9085,9193
1501977164,9092,9200
1501977877,9080,9188
1501978595,9070,9178
1501979294,9058,9166
1501980052,9057,9165
1501980744,9068,9176
1501981475,9055,9163
1501982175,9051,9159
1501982927,9067,9175
1501983880,9058,9166
1501984915,9064,9172
1501985813,9071,9179
1501986504,9074,9182
1501987229,9067,9175
1501987946,9075,9183
1501988675,9075,9183
1501989652,9081,9188
1501990618,9073,9180
1501991317,9074,9181
1501992054,9086,9193
1501992742,9061,9168
1501993474,9073,9180
1501994452,9071,9178
1501995144,9079,9187
1501995875,9078,9186
1501996587,9078,9186
1501997328,9078,9186
1501998284,9084,9192
1501999302,9082,9190
1502000210,9080,9188
1502001193,9076,9184
1502001853,9077,9185
1502002600,9079,9187
1502003303,9086,9194
1502004030,9081,9189
1502005008,9084,9192
1502005709,9076,9184
1502006526,9079,9187
1502007152,9086,9194
1502007872,9093,9201
1502008573,9092,9200
1502009310,9088,9196
1502010119,9084,9192
1502010772,9080,9188
1502011716,9093,9201
1502012416,9092,9200
1502013147,9102,9210
1502014129,9090,9198
1502014826,9096,9204
1502015546,9103,9211
1502016267,9097,9205
1502017326,9105,9214
1502017950,9106,9215
1502018666,9109,9218
1502019385,9108,9217
1502020124,9117,9226
1502020896,9116,9225
1502021571,9115,9224
1502022262,9120,9229
1502023005,9126,9235
1502023696,9122,9231
1502024489,9116,9223
1502025134,9123,9230
1502025866,9116,9223
1502026583,9122,9229
1502027321,9113,9220
1502028093,9117,9224
1502028748,9116,9223
1502029455,9107,9214
1502030454,9113,9220
1502031133,9117,9225
1502032125,9094,9202
1502032818,9101,9209
1502033540,9100,9208
1502034269,9094,9202
1502034983,9095,9203
1502035703,9103,9211
1502036418,9105,9213
1502037166,9084,9192
1502037851,9088,9196
1502038587,9064,9172
1502039294,9073,9181
1502040050,9061,9169
1502040747,9069,9177
1502041451,9070,9178
1502042175,9071,9179
1502043019,9060,9168
1502043877,9069,9177
1502044584,9064,9172
1502045310,9065,9173
1502046088,9063,9171
1502046763,9055,9163
1502047727,9070,9178
1502048429,9068,9176
1502049158,9074,9182
1502050626,9067,9175
1502051293,9073,9181
1502052043,9071,9178
1502052751,9074,9181
1502053485,9066,9173
1502054179,9076,9183
1502054911,9070,9180
1502055628,9081,9191
1502056354,9077,9187
1502057325,9083,9193
1502058019,9079,9189
1502058752,9087,9197
1502059454,9068,9177
1502060194,9071,9180
1502060903,9071,9180
1502061647,9056,9165
1502062344,9060,9169
1502064114,9063,9172
1502064737,9057,9166
1502065465,9078,9187
1502066182,9075,9184
1502066920,9077,9186
1502067661,9074,9183
1502068360,9080,9189
1502069051,9074,9183
1502069773,9070,9178
1502070508,9064,9172
1502071283,9078,9186
1502071958,9070,9178
1502072658,9070,9178
1502073387,9075,9183
1502074364,9061,9169
1502075325,9058,9166
1502076017,9063,9171
1502076756,9057,9165
1502077448,9061,9169
1502078194,9055,9163
1502078902,9056,9164
1502079623,9053,9161
1502080335,9048,9156
1502081069,9054,9162
1502081783,9055,9163
