DateTime,Entries,UniqueIPs
1501865783,20892,20892
1501866634,20842,20842
1501868526,8244,8244
1501869381,20850,20850
1501870232,20827,20827
1501870466,20834,20834
1501871447,20796,20796
1501872147,20802,20802
1501874061,8244,8244
1501875036,20808,20808
1501875906,8244,8244
1501877657,20866,20866
1501878628,20811,20811
1501879532,20816,20816
1501881031,20823,20823
1501882242,20793,20793
1501883286,8244,8244
1501884496,20832,20832
1501885845,20807,20807
1501886724,20796,20796
1501888461,20815,20815
1501889431,20754,20754
1501890151,20751,20751
1501890976,20776,20776
1501891844,20724,20724
1501893742,8244,8244
1501895657,20693,20693
1501896515,20724,20724
1501897352,20674,20674
1501899268,20582,20582
1501900112,20618,20618
1501900951,20540,20540
1501902620,20522,20522
1501903716,20567,20567
1501904729,20495,20495
1501906230,20443,20443
1501907272,8244,8244
1501908148,20400,20400
1501909670,20346,20346
1501911744,20309,20309
1501912582,20335,20335
1501913445,20255,20255
1501914651,20160,20160
1501915357,20150,20150
1501917257,20167,20167
1501918245,20092,20092
1501919131,20118,20118
1501919778,20136,20136
1501920638,20074,20074
1501921512,20098,20098
1501922549,20036,20036
1501924242,20225,20225
1501925108,8244,8244
1501926138,20251,20251
1501926976,20287,20287
1501928065,20292,20292
1501929028,20048,20048
1501929759,19975,19975
1501931433,19921,19921
1501932503,19980,19980
1501933517,20000,20000
1501935040,20002,20002
1501936097,20066,20066
1501936949,19951,19951
1501938634,19890,19890
1501939534,19916,19916
1501940426,19821,19821
1501941384,19851,19851
1501942237,19756,19756
1501943315,19789,19789
1501945264,19628,19628
1501946122,19651,19651
1501947041,19553,19553
1501947752,19539,19539
1501948577,19568,19568
1501949436,19516,19516
1501949657,19524,19524
1501951225,19431,19431
1501952169,8244,8244
1501953256,19418,19418
1501954235,19320,19320
1501954955,19308,19308
1501955786,19340,19340
1501956635,19329,19329
1501957530,19357,19357
1501958722,19342,19342
1501960052,19301,19301
1501961453,19276,19276
1501962334,19288,19288
1501963668,19287,19287
1501967110,19217,19217
1501968028,19238,19238
1501968921,19205,19205
1501971266,19190,19190
1501972097,19214,19214
1501973230,19157,19157
1501974646,19146,19146
1501975823,19126,19126
1501976730,19143,19143
1501978493,19100,19100
1501979443,19029,19029
1501980332,19003,19003
1501981690,8244,8244
1501982884,19018,19018
1501984186,18924,18924
1501985110,18872,18872
1501986023,18892,18892
1501987359,18796,18796
1501989326,18748,18748
1501990817,18633,18633
1501992642,18587,18587
1501993716,18610,18610
1501995377,18512,18512
1501996234,18469,18469
1501996450,8244,8244
1501997438,18392,18392
1501998343,18376,18376
1501999844,18324,18324
1502001149,18246,18246
1502001753,18229,18229
1502002580,18252,18252
1502003435,18218,18218
1502005482,18118,18118
1502007052,18079,18079
1502008225,18030,18030
1502010643,17883,17883
1502011697,17911,17911
1502014245,17477,17477
1502015122,17499,17499
1502016030,17356,17356
1502017829,17251,17251
1502020203,17102,17102
1502021102,17026,17026
1502022023,17060,17060
1502022497,17076,17076
1502023608,16964,16964
1502024470,16882,16882
1502025256,16903,16903
1502026233,16831,16831
1502027220,16827,16827
1502028871,16814,16814
1502029739,16840,16840
1502030755,16740,16740
1502031692,16679,16679
1502032520,16701,16701
1502033438,16661,16661
1502034327,16684,16684
1502036423,16643,16643
1502037317,16585,16585
1502037761,16562,16562
1502040026,16551,16551
1502040922,16505,16505
1502041861,16532,16532
1502043038,16489,16489
1502044957,16446,16446
1502046879,16451,16451
1502047825,16390,16390
1502050457,16388,16388
1502051438,16341,16341
1502052324,16353,16353
1502053774,16334,16334
1502055024,16294,16294
1502055934,16298,16298
1502056578,16313,16313
1502057431,16291,16291
1502059105,16285,16285
1502060999,16262,16262
1502061916,16287,16287
1502062959,16225,16225
1502063782,16242,16242
1502064634,16209,16209
1502065826,16176,16176
1502066729,16161,16161
1502068229,16164,16164
1502069717,16141,16141
1502070868,8244,8244
1502071831,16127,16127
1502073742,16087,16087
1502075656,16094,16094
1502076622,16059,16059
1502077523,16081,16081
1502078182,16103,16103
1502079028,16107,16107
1502080093,8244,8244
1502080943,16105,16105
1502081938,8244,8244
1502082927,16148,16148
1502083830,16125,16125
1502084540,16124,16124
1502085382,16163,16163
1502086236,16161,16161
1502087431,16155,16155
1502088144,16156,16156
1502090128,16196,16196
1502091025,16191,16191
1502091922,16208,16208
1502093088,16191,16191
1502093657,16188,16188
1502094634,16127,16127
1502095345,16131,16131
1502096809,16125,16125
1502097628,16152,16152
1502098827,16108,16108
1502100079,16114,16114
1502100868,16147,16147
1502101831,16120,16120
1502102779,16123,16123
1502103720,15923,15923
1502104528,15955,15955
1502105431,15880,15880
1502106326,15885,15885
1502107828,15922,15922
1502108899,15988,15988
1502110037,15988,15988
