DateTime,Entries,UniqueIPs
1501729695,35115,38344
1501730659,35200,38460
1501731650,34912,38161
1501732620,35036,38322
1501733592,34818,38083
1501734515,35083,38414
1501735467,34931,38235
1501736578,35001,38334
1501737617,34984,38331
1501738593,35078,38459
1501739563,35005,38364
1501740777,34981,38361
1501741726,34844,38240
1501742677,34682,38067
1501743667,34688,38082
1501744595,34560,37935
1501745548,34631,38029
1501746531,34507,37891
1501747488,34451,37829
1501748433,34392,37766
1501749412,34236,37593
1501750353,34229,37598
1501751325,34090,37442
1501752276,34065,37423
1501753230,34153,37531
1501754220,33990,37368
1501755151,34203,37626
1501756128,33869,37221
1501757066,33841,37214
1501758106,33937,37360
1501759216,33921,37345
1501760202,33846,37273
1501761145,33858,37310
1501762112,33777,37232
1501763061,33714,37180
1501764027,33617,37067
1501764984,33698,37163
1501765983,33555,36993
1501766903,33633,37096
1501767861,33505,36930
1501768870,33563,37011
1501769805,33456,36890
1501770755,33292,36706
1501771737,33242,36668
1501772671,33149,36561
1501773634,33078,36454
1501774612,33054,36410
1501775551,33081,36447
1501776496,33018,36372
1501777463,33036,36412
1501778416,32959,36328
1501779714,32991,36368
1501780841,32914,36256
1501781784,32823,36135
1501782766,32892,36218
1501783868,32867,36200
1501784903,32927,36261
1501785855,32884,36206
1501786883,32934,36270
1501787815,32883,36206
1501788769,33029,36378
1501789707,33007,36368
1501790927,33059,36450
1501791878,33159,36582
1501792847,33073,36500
1501793796,33138,36574
1501794753,33028,36449
1501795723,33011,36453
1501796685,32887,36312
1501797703,32996,36429
1501798616,32883,36297
1501799571,32874,36282
1501800524,32750,36126
1501801473,32646,36011
1501802425,32768,36170
1501803413,32670,36009
1501804364,32702,36042
1501805320,32606,35918
1501806283,32708,36038
1501807249,32625,35933
1501808193,32769,36092
1501809168,32657,35970
1501810102,32665,35985
1501811073,32612,35939
1501812088,32528,35839
1501813013,32398,35678
1501813950,32427,35724
1501814939,32416,35708
1501815873,32399,35689
1501816830,32181,35436
1501817839,32305,35567
1501818746,32353,35619
1501819731,32308,35564
1501820670,32184,35437
1501821627,32024,35236
1501822613,31938,35141
1501823548,31868,35056
1501824521,31971,35176
1501825472,31805,34977
1501826501,31832,34998
1501827403,31914,35097
1501828349,31944,35139
1501829329,31929,35119
1501830282,31976,35179
1501831227,31866,35051
1501832201,31891,35086
1501833157,31874,35094
1501834144,31710,34922
1501835064,31802,35050
1501836047,31631,34859
1501836999,31684,34947
1501837981,31484,34717
1501838920,31676,34962
1501839865,31616,34907
1501840910,31615,34893
1501841824,31618,34893
1501842749,31698,34969
1501843723,31773,35034
1501844926,32007,35298
1501845866,32190,35531
1501846837,32283,35615
1501847803,32445,35818
1501848772,32412,35771
1501849707,32512,35887
1501850677,32419,35772
1501851679,32562,35942
1501852589,32484,35854
1501853577,32586,35968
1501854507,32574,35968
1501855469,32665,36068
1501856455,32652,36037
1501857386,32651,36026
1501858363,32682,36071
1501859313,32703,36071
1501860263,32696,36050
1501861238,32594,35913
1501862201,32694,36047
1501863153,32643,35988
1501864131,32719,36076
1501865064,32674,36006
1501866105,32843,36197
1501867021,32821,36175
1501867965,32846,36211
1501868921,32814,36166
1501869872,32920,36289
1501870830,32925,36310
1501871812,32924,36308
1501872751,32921,36309
1501873717,32985,36389
1501874678,32979,36378
1501875643,32920,36307
1501876603,32918,36307
1501877586,32811,36173
1501878523,32929,36310
1501879462,32888,36258
1501880514,32954,36324
1501881616,32905,36264
1501882585,32933,36293
1501883553,32868,36198
1501884550,32905,36234
1501885463,32897,36211
1501886446,32811,36111
1501887401,32868,36190
1501888378,32882,36200
1501889320,32948,36271
1501890275,32910,36217
1501891295,33009,36335
1501892222,32837,36122
1501893149,32929,36208
1501894139,32831,36100
1501895071,32939,36225
1501896054,32809,36080
1501897012,32806,36073
1501897958,32892,36177
1501898924,32982,36273
1501899871,33042,36325
1501900843,32985,36249
1501901815,33003,36258
1501902755,32938,36192
1501903728,32965,36232
1501904662,32760,35987
1501905680,32874,36119
1501906606,32628,35842
1501907574,32717,35951
1501908525,32566,35781
1501909475,32633,35854
1501910431,32531,35731
1501911417,32581,35794
1501912345,32574,35792
1501913329,32415,35608
1501914271,32442,35651
1501915243,32364,35559
1501916221,32304,35502
1501917155,32259,35450
1501918120,32374,35601
1501919067,32299,35507
1501920041,32376,35590
1501920995,32235,35420
1501921943,32334,35539
1501922915,32063,35235
1501923875,32165,35353
1501924844,31938,35082
1501925803,31897,35036
1501926747,31801,34921
1501927736,31738,34847
1501928688,31745,34847
1501929647,31673,34753
1501930615,31468,34527
1501931552,31223,34268
1501932542,31023,34053
1501933467,30948,33966
1501934496,30880,33860
1501935407,30801,33766
1501936367,30799,33766
1501937323,30704,33655
1501938279,30793,33751
1501939227,30675,33622
1501940200,30658,33600
1501941161,30574,33515
1501942129,30538,33460
1501943064,30587,33518
1501944030,30447,33347
1501945018,30486,33382
1501945952,30385,33260
1501946915,30380,33234
1501947876,30336,33183
1501948925,30401,33279
1501950040,30368,33230
1501950984,30402,33271
1501951958,30385,33246
1501952922,30416,33280
1501953862,30490,33350
1501954843,30461,33310
1501955794,30493,33360
1501956766,30412,33263
1501957705,30480,33336
1501958674,30473,33329
1501959657,30551,33409
1501960578,30449,33298
1501961564,30576,33428
1501962508,30515,33359
1501963502,30585,33435
1501964427,30569,33417
1501965419,30578,33424
1501966344,30532,33352
1501967327,30499,33309
1501968280,30609,33415
1501969231,30541,33340
1501970207,30576,33380
1501971579,30575,33375
1501972589,30625,33427
1501973534,30591,33411
1501974518,30630,33454
1501975464,30581,33396
1501976687,30399,33172
1501977656,30590,33407
1501978605,30681,33511
1501979567,30548,33382
1501980512,30663,33514
1501981486,30511,33335
1501982443,30649,33519
1501983405,30692,33557
1501984348,30749,33634
1501985332,30420,33230
1501986269,30627,33469
1501987239,30751,33606
1501988186,30711,33572
1501989168,30438,33251
1501990122,30619,33456
1501991063,30442,33246
1501992064,30639,33485
1501993011,30517,33343
1501993959,30748,33618
1501994910,30766,33631
1501995885,30631,33486
1501996832,30640,33498
1501997808,30805,33690
1501998760,30705,33536
1501999733,30437,33199
1502000671,30734,33540
1502001639,30727,33529
1502002611,30660,33459
1502003554,30702,33520
1502004524,30486,33250
1502005465,30618,33402
1502006536,30552,33334
1502007628,30517,33301
1502008584,30553,33350
1502009544,30687,33488
1502010493,30655,33448
1502011726,30720,33535
1502012667,30642,33447
1502013708,30729,33537
1502014838,30615,33392
1502015788,30601,33380
1502016757,30539,33326
1502017716,30520,33315
1502018677,30546,33366
1502019628,30436,33231
1502020588,30566,33392
1502021584,30551,33374
1502022515,30556,33399
1502023462,30543,33392
1502024499,30623,33469
1502025405,30610,33449
1502026350,30642,33507
1502027331,30618,33481
1502028272,30699,33578
1502029230,30663,33563
1502030464,30637,33540
1502031723,30855,33797
1502032830,30889,33819
1502033795,30873,33803
1502034747,30956,33882
1502035714,30902,33820
1502036665,31045,33994
1502037638,31004,33961
1502038598,31099,34074
1502039560,31082,34054
1502040504,31170,34162
